허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각,1월운영종료시각,2월운영시작시각,2월운영종료시각,3월운영시작시각,3월운영종료시각,4월운영시작시각,4월운영종료시각,5월운영시작시각,5월운영종료시각,6월운영시작시각,6월운영종료시각,7월운영시작시각,7월운영종료시각,8월운영시작시각,8월운영종료시각,9월운영시작시각,9월운영종료시각,10월운영시작시각,10월운영종료시각,11월운영시작시각,11월운영종료시각,12월운영시작시각,12월운영종료시각,판매제한품목,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
성모병원사거리,99,01,서초구,서울특별시 서초구 반포동 123,서울특별시 서초구 반포동 123,37.5029667,127.0028635,1,319000,2017-01-01,2017-12-31,연중무휴,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,,서초구,02-2155-6950,2018-06-28,3210000,서울특별시 서초구
양재역 1번,99,01,서초구,서울특별시 서초구 서초동 1366-12,서울특별시 서초구 서초동 1366-12,37.4846867,127.0308908,1,855800,2017-01-01,2017-12-31,연중무휴,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,,서초구,02-2155-6950,2018-06-28,3210000,서울특별시 서초구
양재역 5번,99,01,서초구,서울특별시 서초구 양재동 12-3,서울특별시 서초구 양재동 12-3,37.4843163,127.0329727,2,921800,2017-01-01,2017-12-31,연중무휴,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,,서초구,02-2155-6950,2018-06-28,3210000,서울특별시 서초구
매헌역,99,01,서초구,서울특별시 서초구 양재동 327,서울특별시 서초구 양재동 327,37.4687298,127.0381687,1,344300,2017-01-01,2017-12-31,연중무휴,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,,서초구,02-2155-6950,2018-06-28,3210000,서울특별시 서초구
금강제화,99,01,서초구,서울특별시 서초구 서초동 1309-8,서울특별시 서초구 서초동 1309-8,37.5018163,127.0224161,1,847000,2017-01-01,2017-12-31,연중무휴,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,,서초구,02-2155-6950,2018-06-28,3210000,서울특별시 서초구
반포쇼핑타운4동,99,01,서초구,서울특별시 서초구 잠원동 69-2,서울특별시 서초구 잠원동 69-2,37.5065026,127.0026432,2,515900,2017-01-01,2017-12-31,연중무휴,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,,서초구,02-2155-6950,2018-06-28,3210000,서울특별시 서초구
남부터미널,99,01,서초구,서울특별시 서초구 서초동 1446-1,서울특별시 서초구 서초동 1446-1,37.4842081,127.0132047,1,412500,2017-01-01,2017-12-31,연중무휴,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,,서초구,02-2155-6950,2018-06-28,3210000,서울특별시 서초구
서대문지역자활썬터,99,01,서대문구,서울특별시 서대문구 연희로11마길 86-77 자활사업단 1층,서울특별시 서대문구 연희동 188-47 자활사업단,37.5725749006,126.926293695,1,무상,2018-04-25,2100-12-31,"""일요일,공휴일""",09:30,17:00,09:30,17:00,09:30,16:00,09:30,16:00,09:30,17:00,09:30,17:00,09:30,17:00,09:30,17:00,09:30,17:00,09:30,17:00,09:30,17:00,09:30,17:00,09:30,16:00,09:30,16:00,,서대문구청,02-330-8951,2018-08-10,3120000,서울특별시 서대문구
남항대교 하부,08,02,영도구,,부산광역시 영도구 영선동 4가 181-71,,,2,"""382,360""",2016-12-26,2018-12-25,연중무휴,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,,영도구청,051-419-4653,2018-07-31,3280000,부산광역시 영도구
솔오름전망대,99,17,서귀포시,제주특별자치도 서귀포시 동홍동 2150-2 앞 도로 (2150-1),제주특별자치도 서귀포시 동홍동 2150-2 앞 도로 (2150-1),33.2914653621,126.555862879,1,연79000원,2017-03-24,2019-02-28,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
솔오름전망대,99,17,서귀포시,제주특별자치도 서귀포시 동홍동 2150-2 앞(도로(2150-1),제주특별자치도 서귀포시 동홍동 2150-2 앞(도로(2150-1),33.2914653621,126.555862879,1,연79000원,2017-03-28,2019-02-28,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
솔오름전망대,99,17,서귀포시,제주특별자치도 서귀포시 동홍동 2150-2 앞 도로(2150-1),제주특별자치도 서귀포시 동홍동 2150-2 앞 도로(2150-1),33.2914653621,126.555862879,1,연79000원,2017-04-04,2019-02-28,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
남조로 사려니숲길입구,99,17,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산 158-4,제주특별자치도 서귀포시 표선면 가시리 산 158-4,33.3945695524,126.685263274,1,무료,2017-03-24,2019-03-23,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
남조로 사려니숲길입구,99,17,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산 158-4,제주특별자치도 서귀포시 표선면 가시리 산 158-4,33.3945695524,126.685263274,1,무료,2017-04-03,2019-03-23,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
남조로 사려니숲길입구,99,17,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산 158-4,제주특별자치도 서귀포시 표선면 가시리 산 158-4,33.3945695524,126.685263274,1,무료,2017-03-30,2019-03-29,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
남조로 사려니숲길입구,99,17,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산 158-4,제주특별자치도 서귀포시 표선면 가시리 산 158-4,33.3945695524,126.685263274,1,무료,2017-04-13,2019-04-06,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
제주컨벤션센터광장,02,17,서귀포시,제주특별자치도 서귀포시 중문동 2503,제주특별자치도 서귀포시 중문동 2503,33.2350331458,126.432323903,1,무료,2015-06-09,2018-04-30,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
중문해수욕장주차장,02,17,서귀포시,제주특별자치도 서귀포시 색달동 2950-23,제주특별자치도 서귀포시 색달동 2950-23,33.2445864403,126.414364471,1,무료,2015-05-07,2018-04-30,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
중문해수욕장주차장,02,17,서귀포시,제주특별자치도 서귀포시 색달동 2950-23,제주특별자치도 서귀포시 색달동 2950-23,33.2445864403,126.414364471,1,무료,2015-07-22,2018-07-15,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
천제연폭포주차장,02,17,서귀포시,제주특별자치도 서귀포시 천제연로 132(중문동),,33.2526765846,126.418375416,1,무료,2015-05-21,2018-04-30,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
천제연폭포주차장,02,17,서귀포시,제주특별자치도 서귀포시 천제연로 132(중문동),,33.2526765846,126.418375416,1,무료,2015-05-07,2018-04-30,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
구)탐라대교차로,99,17,서귀포시,제주특별자치도 서귀포시 하원동 산 78-1 앞 도로(산78-6),제주특별자치도 서귀포시 하원동 산 78-1 앞 도로(산78-6),33.2902544198,126.45955715,1,연18000원,2017-04-06,2019-02-28,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
제2산록도로 광평교차로,99,17,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산 28,제주특별자치도 서귀포시 안덕면 동광리 산 28,33.3292790713,126.356453515,1,연5500원,2017-05-10,2019-04-01,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포보건소,064-760-2421,2018-07-31,6520000,제주특별자치도 서귀포시
부산대학교내 장승터,06,02,금정구,부산광역시 금정구 부산대학로 63번길 2,부산광역시 금정구 장전동 40,35.2322431537,129.083824682,,0,2018-04-30,2018-05-04,연중무휴,11:00,15:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,11:00,15:00,11:00,15:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,부산광역시 금정구청,051-519-4414,2018-08-09,3350000,부산광역시 금정구
금양초등학교,06,02,금정구,부산광역시 금정구 중앙대로 1755,부산광역시 금정구 부곡동 63-27,35.2412356585,129.092024929,,0,2018-08-04,2018-08-05,연중무휴,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,부산광역시 금정구청,051-519-4414,2018-08-09,3350000,부산광역시 금정구
은평평화공원앞,08,01,은평구,,서울특별시 은평구 녹번동153-31,37.6056683411,126.92345247,2,"""년 284,000원""",2018-01-29,2019-01-19,연중무휴,12:00,22:00,12:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,서울특별시 은평구,02-351-8175,2018-07-31,3110000,서울특별시 은평구
은평평화공원앞,08,01,은평구,,서울특별시 은평구 녹번동153-31,37.6056683411,126.92345247,2,"""년 284,000원""",2018-01-30,2019-01-19,연중무휴,12:00,22:00,12:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,서울특별시 은평구,02-351-8175,2018-07-31,3110000,서울특별시 은평구
서울혁신파크,08,01,은평구,서울특별시 은평구 통일로684,서울특별시 은평구 녹번동 5-29,37.609405338,126.934955353,1,"""년 1,826,770원""",2017-03-14,2019-12-31,1월+2월,12:00,16:00,12:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,서울특별시 은평구,02-351-8175,2018-07-31,3110000,서울특별시 은평구
두곡소공원내,08,16,남해군,,경상남도 남해군 남면 당항리 산289-4,34.7697159326,127.910472622,1,"""연1,170원""",2016-11-02,2018-11-01,연중무휴,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,주류,남해군,055-860-3242,2018-08-03,5430000,경상남도 남해군
앵강소공원내,08,16,남해군,경상남도 남해군 이동면 남해대로 1856-3,경상남도 남해군 이동면 무림리 260,34.7843308981,127.961343691,1,"""연6,970원""",2016-11-10,2018-11-09,연중무휴,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,주류,남해군,055-860-3242,2018-08-03,5430000,경상남도 남해군
물미해안도로내,08,16,남해군,,경상남도 남해군 삼동면 물건리 산271-3,,,1,연510원,2016-12-23,2018-12-22,연중무휴,10:00,18:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,주류,남해군,055-860-3242,2018-08-03,5430000,경상남도 남해군
남해유배문학관,08,16,남해군,경상남도 남해군 남해읍 남해대로 2745,경상남도 남해군 남해읍 남변리 555,34.8319585778,127.899185054,1,"""연93,550원""",2017-06-07,2019-06-06,연중무휴,10:00,18:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,주류,남해군,055-860-3242,2018-08-03,5430000,경상남도 남해군
유니온타워,04,09,하남시,,경기도 하남시 신장동 27번지 일원,37.5472096578,127.219269481,,0,2018-06-30,2018-08-26,없음,09:00,18:00,09:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,하남시친환경사업소,031-790-6251,2018-08-13,4040000,경기도 하남시
하남문화예술회관,99,09,하남시,"""경기도 하남시 신평로 125, 하남문화예술회관 (덕풍동)""",경기도 하남시 덕풍동 694번지 하남문화예술회관,37.5447525433,127.206837647,,0,2018-05-05,2018-05-05,없음,09:00,18:00,09:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,하남문화예술회관,031-790-7979,2018-08-13,4040000,경기도 하남시
북서울꿈의숲,04,01,강북구,서울특별시 강북구 월계로173,서울특별시 강북구 번동 83-2,37.617689,127.042192,2,"""연 15,180""",2017-10-10,2018-10-09,없음,15:00,21:00,09:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,북서울꿈의숲,02-2289-4013,2018-08-07,3080000,서울특별시 강북구
강변축구장,03,03,북구,대구광역시 북구 조야로2길 113-30(서변동),,35.9089875455,128.590347743,,"""월 89,480원""",2016-05-25,2018-05-22,비정기적+우천시휴무,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2018-06-18,3450000,대구광역시 북구
검단졸음쉼터(부산방향),07,03,북구,대구광역시 북구 검단동 543-2,,35.9155001472,128.615513876,,월매출액의 1,2016-06-28,2018-06-30,연중무휴,07:00,19:00,07:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2018-06-18,3450000,대구광역시 북구
검단졸음쉼터(서울방향),07,03,북구,대구광역시 북구 검단동 376-11,,35.9160706733,128.615170989,,월매출액의 1,2016-06-28,2018-06-30,연중무휴,07:00,19:00,07:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2018-06-18,3450000,대구광역시 북구
구수산도서관 주차장,08,03,북구,대구광역시 북구 대천로 21(읍내동),,35.9387424514,128.552403803,,"""월 89,480원""",2016-12-27,2017-12-26,비정기적+우천시휴무,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2018-06-18,3450000,대구광역시 북구
산격대교 인근 축제장,99,03,북구,대구광역시 북구 산격동 677-3,,35.9056260027,128.600811908,,0,2017-09-23,2017-09-24,비정기적+우천시휴무,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2018-06-18,3450000,대구광역시 북구
북구청광장,08,03,북구,대구광역시 북구 옥산로 65(침산동),,35.8859370158,128.582387536,,0,2017-10-13,2017-10-13,비정기적+우천시휴무,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2018-06-18,3450000,대구광역시 북구
율하체육공원,04,03,동구,대구광역시 동구 금호강변로 278 (율하동),대구광역시 동구 율하동 1626번지,35.8599236329,128.692839966,2,"""2년/611,111원""",2017-08-30,2019-08-29,연중무휴,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,"""빵, 떡, 과자""",동구청 위생과,053-662-2775,2018-08-17,3420000,대구광역시 동구
보라메공원,04,06,서구,대전광역시 서구 문정로 보라메공원,대전광역시 서구 탄방동 보라매공원,,,5,0,2017-12-07,2018-01-31,연중무휴,10:00,23:00,10:00,23:00,10:00,23:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,대전광역시 서구 위생과,042-288-3332,2018-08-02,3660000,대전광역시 서구
엑스포시민광장,04,06,서구,대전광역시 서구 둔산대로 169 엑스포시민광장 스케이트장,대전광역시 서구 만년동 396 엑스포시민광장 스케이트장,36.366468571,127.388015389,4,0,2017-12-15,2018-02-18,연중무휴,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,대전광역시 서구 위생과,042-288-3332,2018-08-02,3660000,대전광역시 서구
중부선 농다리 졸음쉼터,07,11,진천군,,충청북도 진천군 문백면 구곡리 87번지 중부선 농다리 졸음쉼터,36.8347386945,127.494016798,1,0,2017-12-08,2018-12-07,연중무휴,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,진천군,043-539-3426,2018-06-12,4450000,충청북도 진천군
신포청년몰,99,04,중구,인천광역시 중구 우현로 35번길 일원(도로),,,,7,"""연 1,445,446원""",2018-05-01,2019-04-30,월요일,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,없음,인천광역시,032-760-7347,2018-08-09,3490000,인천광역시 중구
춘향골체육공원,03,13,남원시,전라북도 남원시 충정로 341,전라북도 남원시 월락동 248,35.430734,127.404387,1,"""165,000""",2017-08-01,2018-08-02,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,없음,남원시청교육체육과,063-620-5619,2018-08-07,4700000,전라북도 남원시
독산역 2번출구 앞 광장,08,01,금천구,서울특별시 금천구 벚꽃로 115(가산동),서울특별시 금천구 가산동 717,37.4651984,126.8897931,4,1291000,2018-04-02,2018-12-31,토요일+일요일,07:00,20:00,00:00,00:00,,,,,,,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,주류,건설행정과,02-2627-1593,2018-08-21,3170000,서울특별시 금천구
함평공영주차장 내(현재 미운영),02,14,함평군,전라남도 함평군 함평읍 기각리 994-12,전라남도 함평군 함평읍 기각리 994-12,35.06250182,126.523358393,1,"""연161,920원""",2016-12-16,2018-12-15,미운영,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,함평군,061-320-1644,2018-07-30,4960000,전라남도 함평군
황룡친수공원,04,05,광산구,광주광역시 광산구 선암동 214-4,광주광역시 광산구 선암동 214-4,35.144567,126.779189,1,"""년360,000원""",2018-06-01,2020-05-31,연중무휴,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,주류,광주광역시 건설행정과,062-960-8558,2018-08-07,3630000,광주광역시 광산구
